zone_id,mn_code,municipality
748410,484,Eskilstuna
748411,484,Eskilstuna
748412,484,Eskilstuna
748415,484,Eskilstuna
748416,484,Eskilstuna
748417,484,Eskilstuna
748418,484,Eskilstuna
748419,484,Eskilstuna
748420,484,Eskilstuna
748421,484,Eskilstuna
748422,484,Eskilstuna
748423,484,Eskilstuna
748424,484,Eskilstuna
748425,484,Eskilstuna
748426,484,Eskilstuna
748427,484,Eskilstuna
748428,484,Eskilstuna
748429,484,Eskilstuna
748434,484,Eskilstuna
748435,484,Eskilstuna
748436,484,Eskilstuna
748437,484,Eskilstuna
748438,484,Eskilstuna
748439,484,Eskilstuna
748440,484,Eskilstuna
748441,484,Eskilstuna
748442,484,Eskilstuna
748443,484,Eskilstuna
748444,484,Eskilstuna
748445,484,Eskilstuna
748446,484,Eskilstuna
748447,484,Eskilstuna
748448,484,Eskilstuna
748449,484,Eskilstuna
748451,484,Eskilstuna
748455,484,Eskilstuna
748456,484,Eskilstuna
748457,484,Eskilstuna
748458,484,Eskilstuna
748459,484,Eskilstuna
748460,484,Eskilstuna
748461,484,Eskilstuna
748462,484,Eskilstuna
748463,484,Eskilstuna
748468,484,Eskilstuna
748469,484,Eskilstuna
748470,484,Eskilstuna
748471,484,Eskilstuna
748472,484,Eskilstuna
748473,484,Eskilstuna
748474,484,Eskilstuna
748475,484,Eskilstuna
748476,484,Eskilstuna
748477,484,Eskilstuna
748478,484,Eskilstuna
748484,484,Eskilstuna
748485,484,Eskilstuna
748486,484,Eskilstuna
748487,484,Eskilstuna
748488,484,Eskilstuna
748489,484,Eskilstuna
748490,484,Eskilstuna
748491,484,Eskilstuna
748492,484,Eskilstuna
748493,484,Eskilstuna
748494,484,Eskilstuna
748495,484,Eskilstuna
748496,484,Eskilstuna
748497,484,Eskilstuna
748498,484,Eskilstuna
748499,484,Eskilstuna
748431,484,Eskilstuna
748432,484,Eskilstuna
748433,484,Eskilstuna
748467,484,Eskilstuna
748481,484,Eskilstuna
748483,484,Eskilstuna
748601,486,Strängnäs
748602,486,Strängnäs
748603,486,Strängnäs
748604,486,Strängnäs
748605,486,Strängnäs
748608,486,Strängnäs
748609,486,Strängnäs
748613,486,Strängnäs
748614,486,Strängnäs
748615,486,Strängnäs
748606,486,Strängnäs
748607,486,Strängnäs
748610,486,Strängnäs
748611,486,Strängnäs
748612,486,Strängnäs
748616,486,Strängnäs
748801,488,Trosa
748802,488,Trosa
748803,488,Trosa
750901,509,Ödeshög
751201,512,Ydre
751301,513,Kinda
751302,513,Kinda
751303,513,Kinda
756001,560,Boxholm
756002,560,Boxholm
756101,561,Åtvidaberg
756102,561,Åtvidaberg
756103,561,Åtvidaberg
756104,561,Åtvidaberg
756201,562,Finspång
756202,562,Finspång
756203,562,Finspång
756204,562,Finspång
758001,580,Linköping
758002,580,Linköping
758003,580,Linköping
758004,580,Linköping
758005,580,Linköping
758006,580,Linköping
758007,580,Linköping
758008,580,Linköping
758009,580,Linköping
758010,580,Linköping
758011,580,Linköping
758012,580,Linköping
